date,code,open,high,low,close,preclose,volume,amount,pctChg,振幅
2023-02-09,sh.000300,4067.5631,4130.8565,4064.7489,4130.8565,4076.1411,10228996100,211722604859.2,1.342333,1.6218
2023-02-10,sh.000300,4124.0986,4125.2893,4092.3472,4106.3097,4130.8565,9671673300,195348320573.4,-0.59423,0.7975
2023-02-13,sh.000300,4098.8795,4146.45,4092.2729,4143.574,4106.3097,12889257700,251990181553.9,0.907489,1.3194
2023-02-14,sh.000300,4151.247,4152.0487,4125.2583,4145.2902,4143.574,10249989000,204915435749.9,0.041418,0.6466
2023-02-15,sh.000300,4146.8547,4153.7159,4115.9671,4123.6893,4145.2902,12166450800,219855528966.4,-0.521095,0.9106
2023-02-16,sh.000300,4125.4087,4167.9003,4068.8591,4093.4876,4123.6893,15931058500,281315625588.6,-0.732395,2.4018
2023-02-17,sh.000300,4086.2237,4104.6398,4032.9285,4034.507,4093.4876,11614258900,225737746955.0,-1.44084,1.7518
2023-02-20,sh.000300,4039.9623,4134.8623,4035.4762,4133.4896,4034.507,16179448100,280122962150.4,2.4534,2.4634
2023-02-21,sh.000300,4130.0632,4151.7994,4116.2716,4144.3536,4133.4896,14577617300,249674201048.2,0.262829,0.8595
2023-02-22,sh.000300,4118.9669,4134.8759,4101.8596,4106.9506,4144.3536,10429029500,191586158991.2,-0.902505,0.7967
2023-02-23,sh.000300,4106.2136,4132.3896,4088.2073,4103.6463,4106.9506,10356490600,197193582430.1,-0.080456,1.0758
2023-02-24,sh.000300,4100.9897,4102.6094,4048.2374,4061.0457,4103.6463,10098942500,191210465053.2,-1.038116,1.325
2023-02-27,sh.000300,4040.4571,4067.0296,4034.5237,4043.8444,4061.0457,9378763000,187959491145.3,-0.423568,0.8004
2023-02-28,sh.000300,4058.1298,4074.2639,4026.4476,4069.4587,4043.8444,11032359100,198799712379.1,0.633415,1.1824
2023-03-01,sh.000300,4068.7331,4135.4812,4061.2167,4126.9415,4069.4587,15601579400,255374791015.7,1.412542,1.8249
2023-03-02,sh.000300,4119.9919,4137.2525,4113.8264,4117.7377,4126.9415,14821763700,235953764969.5,-0.223017,0.5676
2023-03-03,sh.000300,4126.0183,4135.2116,4100.3827,4130.5513,4117.7377,16033174100,226914545628.4,0.311181,0.8458
2023-03-06,sh.000300,4131.1525,4132.8367,4088.4484,4109.0102,4130.5513,16297180700,283079861971.5,-0.521507,1.0746
2023-03-07,sh.000300,4103.6419,4124.9609,4046.5679,4048.8519,4109.0102,19591206800,272491994009.2,-1.464058,1.9078
2023-03-08,sh.000300,4030.7387,4037.287,4011.5231,4034.1077,4048.8519,11793649300,191659655190.9,-0.364158,0.6363
2023-03-09,sh.000300,4035.8433,4043.8493,4000.8901,4019.8505,4034.1077,11653962900,201737990686.8,-0.353416,1.0649
2023-03-10,sh.000300,3991.7959,4004.3612,3966.428,3967.1352,4019.8505,12385540900,218286956131.0,-1.311375,0.9436
2023-03-13,sh.000300,3962.6426,4008.686,3962.6426,4008.686,3967.1352,14356137000,242865516757.6,1.047375,1.1606
2023-03-14,sh.000300,3999.8803,4001.9415,3946.9405,3984.6956,4008.686,15054417400,267224848810.5,-0.59846,1.372
2023-03-15,sh.000300,4011.8444,4018.7495,3986.902,3986.902,3984.6956,14202600700,232101093978.6,0.055372,0.7992
2023-03-16,sh.000300,3958.1962,3981.321,3936.4758,3939.1505,3986.902,15251564400,246264286428.0,-1.197709,1.1248
2023-03-17,sh.000300,3971.1585,4004.2153,3945.2501,3958.8194,3939.1505,17743381800,305541015556.1,0.499318,1.4969
2023-03-20,sh.000300,3962.6625,3979.5485,3935.0161,3939.077,3958.8194,20526497000,319760032638.0,-0.498694,1.1249
2023-03-21,sh.000300,3948.1573,3982.7047,3948.1573,3982.3782,3939.077,14509067900,251631985016.9,1.099273,0.877
2023-03-22,sh.000300,3993.7849,4016.4495,3986.7093,3999.4427,3982.3782,14922897000,265180992104.1,0.4285,0.7468
2023-03-23,sh.000300,3985.9928,4039.0895,3983.9986,4039.0895,3999.4427,15888742100,296479529467.0,0.991308,1.3775
2023-03-24,sh.000300,4035.1564,4037.8417,4017.0028,4027.0457,4039.0895,15944233000,295785588943.1,-0.298181,0.5159
2023-03-27,sh.000300,4023.3028,4023.3028,3987.0297,4012.4771,4027.0457,16848227900,315474696948.0,-0.361769,0.9007
2023-03-28,sh.000300,4015.6973,4023.7834,3994.5999,3999.5147,4012.4771,13189511700,248736920971.8,-0.323052,0.7273
2023-03-29,sh.000300,4013.5926,4017.7572,3992.6662,4006.144,3999.5147,13374351000,263866922733.1,0.165753,0.6274
